Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,34,45,51,55.8,59.9,64.7,68.04306411,70.96898082,74.29490687,77.7,79.94695203
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.25,76,79.48769771,79,83.45349717,84,84.56051491,86.54,86.54504885,90,93.60991916
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254,73.91243991
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,59.2,64.0808813
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.58,77.28,77.81999899,81.44,81.9198,83.75,78.00603771,79.26981132,80.50245972,82.04318678,83.33974409
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,79,82,81.26999954,82.34999847,84.17,86.19,87.58979935,84.16520664,84.3941537,87.03711209,88.13451691
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.12,7.5,10.07,11.1,12.3,13.5,14.9,16.5,18.2,20.08130004,29.52351142
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.92,10.92,12.28,14.52,14.94,17.14,22.0627426,25.4473537,32.33580625,39.90463864,47.69064898
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,48.83,53.68,54.3899983,55.82999799,58.4593,55.63846022,58.14173496,61.32425277,63.077347,74.38718292,67.85071029
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,78,78.21,79.05411352,79.4964,88.21942891,89.10683302,91.05802839,93.18272128,91.72654724,88.74635089,92.73039781
"Korea, Rep.",KOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.6,83.7,83.75912015,84.07,84.77,87.55682649,89.8962558,92.84302568,95.06942188,96.02285958,96.15757918
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,26.34,31.05,37.17629541,39.75,43.46,44.39,57.43104299,59.540446,53.03178861,56.6595668,69.63210927
Netherlands,NLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.63,90.72,91.41999576,92.85999236,93.9564,91.666666,91.72413793,90.4109589,93.19727891,91.89189189,93.2885906
Russian Federation,RUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.55,49,58,66,67.97,70.52,70.09924123,73.09143462,76.00813853,80.86472187,82.64216187
Saudi Arabia,SAU,Individuals using the Internet (% of population),IT.NET.USER.ZS,38,41,47.5,54,60.5,64.71365737,69.6162358,74.87927469,94.17559961,93.31000185,95.7247356
Spain,ESP,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.4,65.8,67.08999939,69.80999994,71.635,76.19,78.68963187,80.56133294,84.6022457,86.10723553,90.71866533
Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.3,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.13468774,89.68614767,91.8,93.14608695
Turkiye,TUR,Individuals using the Internet (% of population),IT.NET.USER.ZS,36.4,39.82,43.06571043,45.13,46.25,51.04,53.74497914,58.34773401,64.68461768,71.04276084,73.97670229
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.56,85,85.37999855,87.47999842,89.8441,91.61,92.00029987,94.77580063,90.42455049,90.69200899,92.51662855
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,71,71.69,69.72946076,74.7,71.4,73,74.55420245,85.54442129,87.27488917,88.49890317,89.43028486
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 02/21/2024,,,,,,,,,,,,,,
