DATE,A939RX0Q048SBEA
2011-01-01,54341.0
2011-04-01,54610.0
2011-07-01,54482.0
2011-10-01,54979.0
2012-01-01,55342.0
2012-04-01,55490.0
2012-07-01,55454.0
2012-10-01,55403.0
2013-01-01,55859.0
2013-04-01,55914.0
2013-07-01,56272.0
2013-10-01,56642.0
2014-01-01,56345.0
2014-04-01,56968.0
2014-07-01,57536.0
2014-10-01,57702.0
2015-01-01,58121.0
2015-04-01,58376.0
2015-07-01,58486.0
2015-10-01,58470.0
2016-01-01,58704.0
2016-04-01,58787.0
2016-07-01,59084.0
2016-10-01,59296.0
2017-01-01,59494.0
2017-04-01,59736.0
2017-07-01,60099.0
2017-10-01,60674.0
2018-01-01,61093.0
2018-04-01,61336.0
2018-07-01,61622.0
2018-10-01,61619.0
